单词,词性和解释,频率,状态
embassy,n. 大使馆,低,
distill,vt. 蒸馏；用蒸馏法提取；吸取，提炼,低,
harsh,a. 严厉的，刻薄的；严酷的，恶劣的；粗糙的；刺耳的，刺目的,高,?
norm,n. 规范；准则,高,
psychiatry,n. 精神病学；精神病治疗法,低,
bound,"a. 注定的；受约束的；有义务的；开往…的
n./vi. 跳跃",高,
withdraw,vt. 收回，撤销；退出；取（钱）,中,
blunder,"vi. 踉踉跄跄地走；乱闯；（因无知、粗心等而）犯错
n. （愚蠢或粗心的）错误",中,
incentive,n. 刺激；鼓励；动机,高,
mo(u)ld,"n. 模子，铸型
vt. 浇铸；塑造，形成",高,?
grind,vt. 磨（碎），碾（碎）,低,
vessel,n. 容器，器皿；船，舰；血管；管,高,
detain,vt. 扣留，拘留；耽搁,低,
setback,n. 挫折；倒退；失败,高,
hormone,n. 激素，荷尔蒙,高,
petroleum,n. 石油,中,
revolt,n./vi. 反抗，起义,低,
disclose,vt. 揭示；泄露,高,
hawk,n. 鹰，隼,中,
amid,prep. 在…中间，被…围绕,中,
expedition,n. 远征（队），探险（队）,低,
sparkle,v. 发火花，闪耀,中,
celebrity,n. 名望，名声；名人,高,
yawn,"vi. 打哈欠
n. 哈欠",低,
sketch,"n. 草图；梗概，大意；素描，速写
v. 概述，简述；勾画；素描",高,
timber,n. 木材，木料；树林,中,
blaze,"n. 火焰，火光；闪光，光辉
vi. 燃烧，冒火焰；照耀，发光",低,
conservation,n. 保存；保护；保守；守恒,高,
intimate,a. 亲密的；密切的；幽静舒适的,高,?
collective,"n. 集体，团体
a. 集体的，共同的",高,
cliff,n. 悬崖，峭壁,中,?
sore,"a. 疼痛的；痛心的
n. 痛处，疮口",低,
portfolio,n. 公文包；文件夹；作品集；投资组合,低,
deposit,"vt. （使）沉淀；付（押金）；存放；储蓄
n. 存款；押金；沉淀物",中,
displacement,n. 转移；取代,中,
obscure,"vt. 使暗，使不明显
a. 暗的；朦胧的；模糊的；晦涩的",高,?
hurl,vt. 猛投，猛冲；大声叫骂,低,
shatter,"vt. 使粉碎；使散开；使破灭；使震惊
n. 碎片；粉碎",低,
dispose,v. 处理，处置；布置，安排,中,
hemisphere,n. 半球,高,
deem,vt. 认为，相信,高,
twist,"vt. 歪曲，曲解
vi. 捻，搓，拧
n. 搓，拧；新手法，窍门",中,?
constitution,n. 构成，成分；体格，体质；宪法,高,?
reservoir,n. 水库，蓄水池,中,
absorb,vt. 吸收；吸引，使专心；承担，忍受；理解，掌握,高,?
shutter,n. 百叶窗；（照相机）快门,低,
retention,n. 保留；保持,低,
radiant,a. 容光焕发的；光芒四射的；辐射的,低,
briefcase,n. 公文包，公事包,低,
lavatory,n. 厕所,低,
resemble,vt. 像，类似,高,
moist,a. 潮湿的，湿润的,低,
balcony,n. 阳台；（电影院等的）楼厅，楼座,低,
herb,n. 药草，香草；草本植物,低,
glamour,n. 魅力，诱惑力,中,
stern,"a. 严厉的，苛刻的；难以忍受的；坚定的
n. 船尾",中,?
demonstrate,vt. 论证，证实；展示，说明,高,
slam,"v. 砰地关上，砰地放下；猛地拉（或扔等）；猛烈抨击
n. 砰的一声",低,
flap,"n. 慌乱，紧张；垂下物；帽檐
v. 拍打，拍动",中,?
levy,"vt. 征收（税等）
n. 征税，税款；征兵",低,
cassette,n. 盒子；盒式磁带,低,
obstacle,n. 障碍，妨碍，干扰,中,
coarse,a. 粗糙的，粗劣的；粗鲁的，粗俗的,低,
backward,"a. 向后的；落后的；倒退的；迟钝的
ad. 向后，朝反方向",高,
pedal,"n. 踏板
vt. 踩踏板，骑自行车",中,?
misfortune,n. 不幸，灾祸，灾难,中,
pilgrim,n. 朝圣者,高,
esteem,vt./n. 尊重，尊敬,高,x
humid,a. 湿的，湿气重的,低,
ally,"n. 同盟国，同盟者；支持者
v. （使）结盟",中,
rouse,vt. 惊起；唤起，唤醒,低,
insult,vt./n. 侮辱，凌辱,中,
orientation,n. 方向，方位，定位；熟悉，适应；（迎新）情况介绍，入学介绍,高,
vein,n. 静脉，血管；叶脉；纹理，纹路；方式，风格,低,
void,a. 空的，空虚的；没有的，缺乏的；无效的,低,
offspring,n. 子孙，后代；结果，产物,高,?
friction,n. 摩擦；摩擦力,中,
loosen,v. 解开，放松,低,
surplus,"n. 过剩，剩余
a. 过剩的，剩余的",高,
doze,vi./n. 瞌睡；假寐,低,
moisture,n. 湿气；湿度,低,
siren,n. 警报声，警报器,低,
clasp,"n. 握手；拥抱；扣子，钩子
v. 扣住，钩住；紧握，紧抱",低,
bibliography,n. 书目；参考文献,低,
tribute,n. 贡品，（表示敬意的）礼物；颂词，称赞,中,
exquisite,a. 优美的，精致的；（感情）强烈的，剧烈的；（感觉）敏锐的，敏感的,高,?
senator,n. 参议员,高,
pant,n./vi. 喘气,低,
wit,n. 智力，才智,高,
contract,"n. 契约，合同；包工
vi. 缩小，收缩；订（约）",高,?
dim,a. 暗淡的；模糊的,高,
residence,n. 住处，住宅；居住,中,
heel,n. 脚后跟；鞋跟,低,
rim,n. （圆物的）边，轮缘；边界,低,
accord,"n. 一致，符合；协议，条约
vi. 相符合，相一致
vt. 授予，赠与",中,?
trace,"n. 痕迹，踪迹；微量
vt. 跟踪，追踪；描绘",高,?
irony,n. 反话，讽刺，嘲弄；出人意料的事情或情况；具有讽刺意味的事,中,
extensive,a. 广大的，广泛的；大量的,高,?
dazzle,"vt. 使惊奇，使倾倒；使炫目，耀（眼）
n. 耀眼的光；令人眼花缭乱的东西",中,
curriculum,n. 课程，（学校等的）全部课程,高,
expertise,n. 专门知识（或技能等），专长,中,
mild,a. 温暖的；温和的，轻微的；（烟、酒等）味淡的,高,
fraud,n. 诈骗，欺骗；骗子；冒名顶替者,低,
illustration,n. 说明，例证；插图，图解,低,
aural,a. 听觉的,低,
shuttle,"n. 航天飞机；（织机的）梭子；短程穿梭运行的飞机（或火车、汽车）
v. （使某物）穿梭般来回",高,
intermittent,a.  间歇的，断断续续的,中,
cosmic,a. 宇宙的,高,
motel,n. 汽车旅馆,低,
surgery,n. 外科；外科手术；手术室，诊疗室,中,
mob,"n. 暴民，乌合之众
vt. 成群暴动，群众袭击；成群围住",低,
vocation,n. 职业，行业,中,
petition,"n. 请愿书，申请书；诉状
vt. 向…请愿，正式请求",低,
slope,"n. 斜面，斜坡；倾斜，斜度
v. （使）倾斜",低,
dye,"n. 染料
vt. 染，染色",中,
skull,n. 颅骨，脑壳,低,
herd,"n. 群，兽群，牛群；人群，芸芸众生
vt. 放牧；把…赶在一起",中,?
stride,"n. 迈步，阔步
vi. 大步走（过）；跨过",高,
impose,vt. 征（税）；处以（罚款、监禁等）；把…强加给,高,
fatigued,a. 疲乏的,低,
agent,n. 代理商，代理人，代表；原动力，动因,高,?
outlook,n. 景色；观点，见解；展望，前景,高,
deceit,n. 欺骗，谎言,低,
irrigate,vt. 灌溉；冲洗（伤口等）,中,x
grease,"n. 动物脂肪，油脂；润滑剂
vt. 抹油；润滑",低,
pistol,n. 手枪,低,
devil,n. 魔鬼；恶棍,中,x
escort,"vt. 护卫，护送
n. 护卫队，护送者",低,
associate,"vt. 使联系，使联合
vi. 交往，结合
n. 合伙人，伙伴，同事，同行
a. 副的",高,?
inference,n. 推理，推断，推论,高,
flesh,"n. 肉
v. 充实",中,
token,"n. 表示，象征；标志，记号；代金券；信物，纪念品；筹码
a. 象征性的",中,
swamp,"n. 沼泽
v. （以繁多的事情）压倒某人",中,?
feat,n. 功绩，壮举,中,x
stake,"n. 桩；棍子；赌注；利害关系，风险
v. 以…打赌，拿…冒险",高,
vanish,v. 消失，消散,高,x
surrender,v. 投降；放弃,中,
jolly,"a. 欢乐的，高兴的
ad. 非常",低,
stripe,n. 条纹；种类，类型；观点,低,
forehead,n. 额,低,
piston,n. 活塞,低,
verbal,a. 用言辞的，用文字的；口头的；动词的,高,?
submit,"vi. 服从，屈服
vt. 呈送，提交",高,
rally,"n. 集会；公路汽车赛
v. 集合，团结；（使）恢复（健康等），重新振作",中,?
thigh,n. 大腿,低,
rotary,a. 旋转的,低,
passerby,n. 过路人，行人,低,
imperative,"a. 必要的；紧急的，极重要的；命令的
n. 必要的事；祈使语气",高,
wrench,"vt. 猛拧，猛拉；摆脱，挣脱；使扭伤
n. 扳手；（离别等的）痛苦，难受",低,
vaccine,n. 疫苗,低,
massacre,"vt. 大规模屠杀，残杀；彻底击败
n. 大屠杀，残杀；（比赛等的）惨败",中,
intricate,a. 错综复杂的，复杂精细的,中,x
futile,a. 无效的，无用的，无意义的；（人）没出息的；琐碎的,低,
regulation,n. 规则，规章；调节，校准，调整,高,
condense,v. （使）压缩，（使）凝结；精简，压缩,低,
clumsy,a. 笨拙的，愚笨的,低,
capture,"n. 捕获，俘虏
vt. 捕获，俘虏；引起注意，吸引住；表现，体现",高,?
spray,"n. 喷雾，飞沫；浪花，水花
vt. 喷洒，喷射",低,
lofty,a. 高耸的；崇高的；高傲的,低,
staple,"n. 订书钉；主食；主要产品
vt. 用订书钉订，把…订起来
a. 主要的；经常需要（或使用）的",低,
desolate,"a. 荒凉的；孤独凄凉的
vt. 使荒芜",低,
coach,"n. （铁路）客车，长途汽车，大客车；教练；辅导员，私人教师
vt. 辅导，指导",中,?
console,vt. 安慰，抚慰,低,
ruthless,a. 残酷的，无情的,低,
harness,vt. 治理；利用,中,
tone,n. 音调，音色；色调；风气；气氛；腔调，语气；（肌肉、皮肤等的）结实程度,高,
smuggle,vt. 走私，偷运,低,
shrewd,a. 机灵的，敏锐的；精明的,低,
swell,v. （使）膨胀，增大，隆起,中,
soar,vi. 猛增，剧增；高飞，翱翔；（情绪、期望等）高涨；高耸，屹立,中,
torment,"n. 痛苦，折磨；令人痛苦的东西；折磨者
vt. 折磨，使痛苦；纠缠，戏弄，烦扰（某人）",低,
construct,"vt. 建造，构造；创立；解释，说明
n. 构想；概念",高,?
moss,n. 苔藓，地衣,低,
barrel,n. 桶；枪管，炮管,中,?
fertilizer/fertiliser,n. 肥料,中,
extend,vt. 延长，延伸；提供，给予,高,?
exempt,"vt. 使…免除（或豁免）
a. 被免除的，被豁免的",中,
grief,n. 悲伤，悲痛；悲伤的事；悲痛的缘由,低,
decent,a. 体面的；正派的，宽厚的,低,
provoke,vt. 挑衅，激怒，招惹；激起，引起，引发,高,
vision,n. 视觉，视力；眼光，洞察力；想象，幻想,高,?
originate,"vi. 起源，产生
vt. 首创，创造",高,?
hinge,n. 合页，铰链,低,
slack,"a. 懈怠的，懒散的；松弛的；萧条的
n. 淡季，萧条期；便裤，运动裤",高,
genuine,a. 真正的，名副其实的,中,
weep,"v. （为…）哭泣，（为…）流泪
n. 悲叹，哀悼",低,
timid,a. 胆怯的，怯懦的,低,
spark,"n. 火花
v. 导致，产生；冒火花",中,?
prime,"a. 首要的，主要的；最好的，一流的
n. 青春，青壮年时期；全盛时期",高,
envisage,vt. 展望，想象；正视,中,?
agreeable,a. 惬意的，令人愉快的；易相处的；同意的,中,
ventilate,vt. 使通风，换气；给…装通风设备,低,
overturn,"vi./n. 翻倒，倾覆
vt. 推翻，撤销（判决）",高,
pulse,n. 脉搏；脉冲；意向，动向；情绪,低,
provided,conj. 倘若，只要，假如,高,
plaintiff,n. 原告,低,
avert,vt. 防止，避免；转移（目光、注意力等）,低,
overthrow,vt./n. 推翻，颠覆,低,
amend,vt. 修改，修正,高,
fume,"vi. 发怒；冒烟
n. 烟；气；汽",中,x
diminish,v. 缩小，减少，递减,高,?
tempt,vt. 诱惑；吸引，使感兴趣,高,
saucer,n. 茶托，碟子,低,
giggle,n./vi. 咯咯笑；傻笑,低,
mosaic,n. 马赛克；镶嵌画,低,
prevail,vi. 取胜，占优势；流行，盛行,中,
enlighten,vt. 启发，启蒙；教导,高,
nuisance,n. 讨厌的人（或东西）；麻烦事,中,
claw,"n. 爪
v. 抓",中,
veil,"n. 面纱，遮蔽物
v. 用面纱掩盖；掩饰",低,
contrive,vt. 图谋，策划；设法做到,低,
tramp,"n. 流浪者；步行，跋涉
v. 步行，跋涉",低,
erosion,n. 腐蚀，磨损；削弱，减少,低,
perplex,vt. 使困惑；使费解；使复杂化,高,
coordinate,"a. 同等的，并列的；坐标的
n. 坐标",中,
bounce,v./n. （球）跳起，弹起,低,
realm,n. 王国，国土；领域,低,
undermine,vt. 暗中破坏，暗中削弱；侵蚀…的基础,高,
cardinal,"a. 最重要的
n. 红衣主教",低,
priest,n. 教士，神父,中,
lantern,n. 提灯；灯笼,低,
concession,n. 迁就，让步,中,?
roar,vi. 吼叫，怒号；轰鸣；咆哮,低,
ultraviolet,"a. 紫外线的
n. 紫外线",低,
abdomen,n. 腹部,低,
memorandum,n. 备忘录,低,
embarrass,vt. 使窘迫，使为难,高,
jar,n. 罐，坛；广口瓶,低,
cathedral,n. 大教堂,高,
analogy,n. 比拟，类比,中,
texture,n. 质地，纹理，结构,低,
resist,v. 抵抗，反抗；抗，忍得住，抵制（诱惑等）,中,
administer,vt. 掌管，料理…的事务；实施，执行；给予，投（药）,中,?
elaborate,"a. 精心制作的；详尽的；复杂的
vt. 详细制定
vi. 详细说明",高,?
scrape,"v. 擦去；擦过，勉强通过
n. 刮削，刮削声；擦伤，擦痕",中,
missionary,n. 传教士,低,
quest,vi./n. 搜寻，探求,高,
Catholic,"n. 天主教徒
a. 天主教的",中,
convey,vt. 运送，搬运，转运；表达，传播,高,
dump,"vt. 倾倒；扔掉，倒掉
n. 垃圾场；堆存处",低,
assurance,n. 确保；断言；保证，担保,中,
lubricate,vt. 润滑；加润滑油于,低,
blush,n./vi. 脸红,低,
favo(u)rable,a. 赞许的；有利的；顺利的,高,x
loosen,a. 松的，肥大的,低,
ornament,"v. 装饰，美化
n. 装饰，装饰物",中,
senate,n. 参议院，上院,中,
eclipse,n. （天体的）食,低,
weary,"a. 疲倦的；令人厌烦的
vt. 使疲倦，使厌倦",中,x
genre,n. （文学、音乐、艺术或电影的）体裁，类型,高,
spectacular,"a. 壮观的；引人注目的
n. 壮观的演出",低,
degenerate,vi. 衰退，堕落，蜕化,低,
imitation,n. 模仿，仿效；仿制，仿造品,中,
persevere,vi. 坚持,低,
import,"vt. 进口，输入
n. 进口，输入；进口商品；要旨，含义；重要性",高,?
affection,n. 爱，慈爱；感情；影响,中,
compromise,"vi./n. 妥协
vt. （尤指因行为很不明智）使陷入危险，使受到怀疑",高,
underlying,a. 含蓄的；潜在的；根本的；在下面的,高,
maiden,"n. 少女，未婚女子
a. 首次的，初次的",低,
gasoline/gasolene,n. 汽油,低,
auction,n./vt. 拍卖,低,
state,"n. 状态，情况；国，州
vt. 陈述，说明；规定",高,
pretext,n. 借口，托词,低,
eligible,a. 有条件被选中的，有资格当选的；合格的,高,
liquor,n. 酒，烈性酒,低,
characteristic,"a. 特有的，独特的
n. 特征，特性",高,
literally,ad. 照字面义；逐字地；确实地，真正地，实际地,高,
frontier,n. 国境，边境；尖端，新领域,低,
dusk,n. 薄暮，黄昏,低,
garment,n. （一件）衣服,高,
grope,vi. 暗中摸；探索，搜寻，搜索,低,
thereafter,ad. 此后，以后,低,
knot,"n. （绳）结；（树）节；群，簇；节（海里/小时）；难题，疙瘩
v. 打结",高,
cordial,a. 诚恳的；亲切的；热忱的,低,
stale,a. 变质的，不新鲜的；陈旧的，陈腐的,低,
brim,n. 边缘；帽檐,低,
certificate,n. 证书，证明；执照,中,
spontaneous,a. 自发的，自然产生的,中,
dilemma,n. （进退两难的）窘境，困境,高,
rage,n. 愤怒；精神错乱,高,?
argue,"v. 争论，辩论
vt. 坚持，主张；说服，劝说",高,
troop,n. 部队，军队；（一）群，（一）队,高,
notwithstanding,prep./ad./conj. 尽管,高,x
oak,"n. 橡树，橡木
a. 橡木的",低,
trim,"a. 整齐的，整洁的
vt./n. 整理，修整；装饰",低,
rebel,"vi. 反抗，反叛，起义
n. 叛逆者，起义者",中,
slum,n. 贫民区；陋巷,中,x
defy,vt. （公然）违抗，反抗；蔑视,中,
asset,n. 资产，财产；优点，有用的东西,中,
powder,n. 粉末；药粉；火药；炸药,低,
proclaim,vt. 宣告，声明,高,
setting,n. （太阳等）落山；（固定东西的）底座；环境，背景,高,
supersonic,a. 超音速的，超音的,低,
earnest,a. 热心的；诚挚的,高,
damp,a. 有湿气的，潮湿的,中,
subsequent,a. 随后的，后来的,高,
hose,"n. 水龙管，软管
vt. 用软管（冲洗等）",低,
stimulate,vt. 刺激，使兴奋；激励，鼓舞,高,
competent,a. 有能力的，胜任的,中,?
republican,"a. 共和政体的；共和国的
n. 共和党人",高,
excess,"a. 过量的，额外的
n. 过量，过剩",高,?
stain,"n. 污点，瑕疵
vt. 沾污，染污；玷污，败坏（名声）；染色",中,
reduction,n. 减少，缩减,高,x
satire,n. 讽刺；讽刺作品,高,
sew,vi. 缝，缝纫,中,x
suspicious,a. 可疑的；多疑的，疑心的,高,
surgeon,n. 外科医生,高,
ego,n. 自我；自负,低,
temper,"n. 脾气，情绪；韧度；回火度
vt. 减缓；调和，调节",高,?
ebb,"vi. 退；退潮，落潮；衰退
n. 退潮，落潮",低,
bow,"vi. 鞠躬；点头
n. 鞠躬；点头；弓（形）；蝴蝶结",高,?
correspondent,n. 记者；通讯员,低,
corrode,v. （使）腐蚀，侵蚀,低,
handy,a. 手边的；方便的,低,
disposal,n. 处理，处置；布置，安排,低,
refine,vt. 精炼；精制；提纯,低,
liver,n. 肝，肝脏,低,
shabby,a. 破旧的，破烂的；衣衫褴褛的；卑鄙的；不公正的,低,
mortal,"a. 致命的；终有一死的；你死我活的，不共戴天的
n. 凡人",低,
extinct,a. 灭绝的；熄灭了的,高,
plumber,n. 水管工,低,
quilt,n. 被子,低,
preferable,a. 更可取的，更好的,高,
lane,n. 小路，小巷；行车道,高,
eject,vt. 喷射，排出；驱逐,低,
calcium,n. 钙,低,
shave,"vt. 刮，剃，刨，削
n. 刮脸",低,
calorie,n. 卡路里，大卡,中,
hypothesis,n. 假说，假设；前提,中,
germ,n. 微生物；细菌,低,
