单词,词性和解释,频率,偏意,状态
grip,n./v. 紧握，抓紧,高,FALSE,
antenna,n. 天线,低,FALSE,
sip,"v. 抿，呷
n. 小口喝，一小口的量",低,FALSE,
devise,vt. 设计，想出，发明,高,FALSE,
bold,a. 大胆的，勇敢的；冒失的，冒昧的；粗体的,高,TRUE,
stadium,n. 体育场,中,FALSE,
diffuse,"vi. 扩散
vt. 传播，散布；使分散；宣泄（不良情绪）
a. （文章等）冗长的，漫无边际的；弥漫的",中,FALSE,
negligible,a. 可以忽略的，微不足道的,高,FALSE,
critical,a. 批评的，评论的；危急的，紧要的；挑剔的；临界的,高,TRUE,
excursion,n. 短途旅行，浏览,低,FALSE,
cosy/cozy,a. 温暖而舒适的,低,FALSE,
peep,vi. 偷看,低,FALSE,
conductor,n. 领队，（乐队）指挥；售票员；导体,高,TRUE,
isle,n. 小岛,低,FALSE,
intrigue,"vi. 密谋，施诡计
vt. 引起极大兴趣，迷住
n. 阴谋，诡计",低,FALSE,
stoop,"vi. 弯腰，俯身
n. 弯腰，曲背",低,FALSE,
inertia,n. 惯性；惰性,中,FALSE,
luggage,n. 行李,中,FALSE,
plausible,a. 似乎合理的，似乎可信的,中,FALSE,
nucleus,n. 核，原子核；核心,低,TRUE,
crust,n. 外皮，壳；地壳,低,FALSE,
lick,"vt. 舔
n. 舔",低,FALSE,
lest,conj. 唯恐，免得,高,FALSE,
confine,vt. 限制，局限于；管制，紧闭,高,FALSE,
provision,n. 供应；准备；条款，规定；给养，口粮,高,FALSE,
supplement,"n. 补充（物）；增刊
vt. 增补，补充",中,FALSE,
propel,vt. 推进，推动；激励，驱使,中,FALSE,
appal(l),vt. 使惊骇，使恐怖,低,FALSE,
dormitory,n. （集体）宿舍,低,FALSE,
spade,n. 铁锹，铲子,低,FALSE,
vocal,"a. 嗓音的，发声的；直言不讳的
n. 声乐节目",中,TRUE,
arch,"n. 拱门；拱形结构；桥拱洞
vt. 拱起，使变成弓形",低,FALSE,
compound,"n. 混合物，化合物
a. 混合的，复合的，化合的",中,FALSE,
gown,n. 女式礼服；罩衣；长袍,低,FALSE,
locomotive,"a. 运动的，移动的，运载的
n. 机车，火车头",低,FALSE,
petrol,n. 汽油,高,FALSE,
seal,"n. 海豹；图章；封条
vt. 密封",中,FALSE,
specimen,n. 标本，样本,低,FALSE,
utter,"vt. 说，发出（声音）
a. 彻底的，完全的",中,FALSE,
tomb,n. 坟,高,FALSE,
keen,a. 热心的，渴望的；敏锐的，头脑敏捷的；锋利的,高,FALSE,
straightforward,"a. 简单的，易懂的；正直的，坦率的
ad. 坦率地",中,TRUE,
stall,"n. 货摊；畜栏
v. （使）停转，（使）停止",中,FALSE,
oar,n. 桨橹,低,FALSE,
verge,"n. 边缘
v. 接近，濒临",中,FALSE,
monarch,n. 君主，帝王,高,FALSE,
veteran,"a. 经验丰富的
n. 老手；老兵",中,FALSE,
splash,"vt. 溅湿，泼
n. 溅，飞溅声；引人注目的事物",中,FALSE,
deteriorate,vi. 恶化，变坏,中,FALSE,
confer,"vi. 商谈
vt. 授予，赋予",高,FALSE,
limp,"a. 柔软的，易曲的，无力的
n./vi. 蹒跚，跛行",低,FALSE,
mischief,n. 损害，伤害，危害；恶作剧，捣蛋，胡闹,低,FALSE,
bosom,n. （心）胸,低,FALSE,
reptile,n. 爬行动物,低,FALSE,
heave,"vt. （用力）举起，提起；扔（重物）
n. 举起；升降",低,FALSE,
pope,n. （天主教）教皇，罗马主教,低,FALSE,
reclaim,vt. 要求归还，收回；开垦,高,FALSE,
sober,a. 清醒的，冷静的；适度的；严肃的,高,FALSE,
indulge,vt. 沉溺，纵容自己，肆意从事；允许（某人）延期付款,高,FALSE,
embryo,n. 胚胎；事物的萌芽期,低,FALSE,
herald,"n. 预告，先兆；传令官
vt. 预示…的来临",低,FALSE,
scorn,n./vt. 轻蔑，藐视,中,FALSE,
posture,"n. 姿势，体态；看法，态度
vi. 摆出（不自然的）姿势，装模作样",高,FALSE,
relate,vt. 叙述，讲述；使联系,高,TRUE,
maneuver/manoeuvre,v. 演习；谨慎的运用技巧（使某物）移动；熟练而巧妙地引导某人（或某事物）,低,FALSE,
mock,"v. 嘲笑，讥笑
a. 仿制的，假装的；模拟的，演习的
n. 模拟考试",高,TRUE,
linen,n. 亚麻布，亚麻布制品,中,FALSE,
plateau,n. 高原；稳定器，停滞期,中,FALSE,
abide,vi. 坚持，遵守；忍受；居住；停留,高,FALSE,
dome,n. 圆屋顶，拱顶,低,FALSE,
patron,n. 赞助人，保护人,高,FALSE,
scheme,"n. 计划，方案；阴谋；配置，方案
v. 计划，策划；密谋",高,TRUE,
thermal,a. 热的；保暖的,低,FALSE,
lumber,n. 木材，木料,中,FALSE,
majesty,n. 陛下；雄伟，壮丽，庄严,低,FALSE,
repertoire,n. （剧团等）常备节目；全部节目,中,FALSE,
obstruction,n. （蓄意）阻碍；妨碍；障碍物,低,FALSE,
propose,"vt. 提议；提名，推荐
vi. （向某人）求婚",高,FALSE,
nominate,vt. 提名；任命,低,FALSE,
subscribe,vi. 订阅，预订；赞成,中,TRUE,
carbohydrate,n. 碳水化合物,中,FALSE,
overhaul,"n. 彻底检修；改革
vt. 彻底检修；赶上，超过（赛跑对手）",低,FALSE,
discourse,"n. 演讲，谈话，论文
vi. 演讲，谈话",中,FALSE,
sturdy,a. 强健的，结实的,低,FALSE,
fuss,n./vi. 忙乱，大惊小怪,低,FALSE,
buffet,n. 自助餐,低,FALSE,
permeate,vi. 扩散，弥漫；渗透，渗入,低,FALSE,
steep,a. 陡峭的，险峻的；突然的，急剧的（数量的上升或下降），大起大落的,高,FALSE,
dam,n. 水坝，水闸,中,FALSE,
narrative,"a. 叙述的，有故事性的
n. 叙述；记叙文",中,FALSE,
vulgar,a. 粗野的，下流的；庸俗的，粗俗的；通俗的,中,FALSE,
cripple,"n. 跛子，残疾人
vt. 使跛，使残疾",低,FALSE,
snap,"vt. 给…拍快照
vi. 咔嚓折断，啪地绷断；猛咬；猛然断裂；吧嗒一声（关上或打开）；厉声说话，怒声责骂",低,TRUE,
fairy,n. 小仙子，小精灵,低,FALSE,
whatsoever,ad. （用于否定句中加强语气）任何,中,FALSE,
fancy,"n. 爱好，喜爱；想象，设想
vt. 想象，幻想
a. 花式的；奇特的",中,TRUE,
slender,a. 修长的，苗条的；微小的，微薄的,低,FALSE,
linger,vi. 逗留，闲逛，徘徊；磨蹭，拖延,中,FALSE,
rein,n. 缰绳；控制,低,FALSE,
exert,vt. 尽（力）；施加（压力等）,高,FALSE,
liberal,a. 自由的，开明的；丰富的，富足的；慷慨的；通识（教育）的,高,TRUE,
trumpet,"n. 喇叭，小号
v. 吹嘘，鼓吹",低,FALSE,
heir,n. 继承人,低,FALSE,
intervene,vi. 插手，干预，调停，介入,中,FALSE,
vacuum,"n. 真空；真空吸尘器
v. 收集",中,TRUE,
speculate,v. 预测，推断；思索；投机,高,FALSE,
persecute,vt. 迫害,低,FALSE,
slice,n. 薄片，切片；一份，部分,中,TRUE,
canal,n. 运河；沟渠,中,FALSE,
intact,a. 完整无缺的，未经触动的,低,FALSE,
lean,"vi. 倾斜；屈身；倚靠；依赖
a. 瘦的，无脂肪的",高,TRUE,
clutch,"v. 抓住，掌握
n. 离合器",低,FALSE,
temperament,n. 性情；气质,中,FALSE,
curl,"v. （使）卷曲；蜷缩
n. 卷发；卷曲状；卷曲物",低,TRUE,
pact,n. 协定，条约，公约,低,FALSE,
wander,vi. 漫步，徘徊；迷路，迷失方向；离题,高,TRUE,
compartment,n. （客车车厢内的）隔间；分隔的空间,低,FALSE,
liner,n. 班机，班轮,高,FALSE,
spectrum,n. 光谱；频谱；范围，幅度,中,TRUE,
bail,"n. 保释
vt. 保释；帮助（某人）脱离困境",低,FALSE,
embassy,n. 大使馆,低,FALSE,
distill,vt. 蒸馏；用蒸馏法提取；吸取，提炼,低,TRUE,
harsh,a. 严厉的，刻薄的；严酷的，恶劣的；粗糙的；刺耳的，刺目的,高,FALSE,
norm,n. 规范；准则,高,FALSE,
psychiatry,n. 精神病学；精神病治疗法,低,FALSE,
bound,"a. 注定的；受约束的；有义务的；开往…的
n./vi. 跳跃",高,TRUE,
withdraw,vt. 收回，撤销；退出；取（钱）,中,TRUE,
blunder,"vi. 踉踉跄跄地走；乱闯；（因无知、粗心等而）犯错
n. （愚蠢或粗心的）错误",中,FALSE,
incentive,n. 刺激；鼓励；动机,高,FALSE,
mo(u)ld,"n. 模子，铸型
vt. 浇铸；塑造，形成",高,FALSE,
grind,vt. 磨（碎），碾（碎）,低,FALSE,
vessel,n. 容器，器皿；船，舰；血管；管,高,FALSE,
detain,vt. 扣留，拘留；耽搁,低,TRUE,
setback,n. 挫折；倒退；失败,高,FALSE,
hormone,n. 激素，荷尔蒙,高,FALSE,
petroleum,n. 石油,中,FALSE,
revolt,n./vi. 反抗，起义,低,FALSE,
disclose,vt. 揭示；泄露,高,FALSE,
hawk,n. 鹰，隼,中,FALSE,
amid,prep. 在…中间，被…围绕,中,FALSE,
expedition,n. 远征（队），探险（队）,低,FALSE,
sparkle,v. 发火花，闪耀,中,FALSE,
celebrity,n. 名望，名声；名人,高,FALSE,
yawn,"vi. 打哈欠
n. 哈欠",低,FALSE,
sketch,"n. 草图；梗概，大意；素描，速写
v. 概述，简述；勾画；素描",高,TRUE,
timber,n. 木材，木料；树林,中,FALSE,
blaze,"n. 火焰，火光；闪光，光辉
vi. 燃烧，冒火焰；照耀，发光",低,FALSE,
conservation,n. 保存；保护；保守；守恒,高,TRUE,
intimate,a. 亲密的；密切的；幽静舒适的,高,TRUE,
collective,"n. 集体，团体
a. 集体的，共同的",高,FALSE,
cliff,n. 悬崖，峭壁,中,FALSE,
sore,"a. 疼痛的；痛心的
n. 痛处，疮口",低,FALSE,
portfolio,n. 公文包；文件夹；作品集；投资组合,低,FALSE,
deposit,"vt. （使）沉淀；付（押金）；存放；储蓄
n. 存款；押金；沉淀物",中,TRUE,
displacement,n. 转移；取代,中,FALSE,
obscure,"vt. 使暗，使不明显
a. 暗的；朦胧的；模糊的；灰色的",高,FALSE,
hurl,vt. 猛投，猛冲；大声叫骂,低,FALSE,
shatter,"vt. 使粉碎；使散开；使破灭；使震惊
n. 碎片；粉碎",低,FALSE,
dispose,v. 处理，处置；布置，安排,中,FALSE,
hemisphere,n. 半球,高,FALSE,
deem,vt. 认为，相信,高,FALSE,
twist,"vt. 歪曲，曲解
vi. 捻，搓，拧
n. 搓，拧；新手法，窍门",中,TRUE,
constitution,n. 构成，成分；体格，体质；宪法,高,TRUE,
reservoir,n. 水库，蓄水池,中,FALSE,
absorb,vt. 吸收；吸引，使专心；承担，忍受；理解，掌握,高,TRUE,
shutter,n. 百叶窗；（照相机）快门,低,FALSE,
retention,n. 保留；保持,低,FALSE,
radiant,a. 容光焕发的；光芒四射的；辐射的,低,FALSE,
briefcase,n. 公文包，公事包,低,FALSE,
lavatory,n. 厕所,低,FALSE,
resemble,vt. 像，类似,高,FALSE,
moist,a. 潮湿的，湿润的,低,FALSE,
balcony,n. 阳台；（电影院等的）楼厅，楼座,低,TRUE,
herb,n. 药草，香草；草本植物,低,FALSE,
glamour,n. 魅力，诱惑力,中,FALSE,
stern,"a. 严厉的，苛刻的；难以忍受的；坚定的
n. 船尾",中,FALSE,
demonstrate,vt. 论证，证实；展示，说明,高,TRUE,
slam,"v. 砰地关上，砰地放下；猛地拉（或扔等）；猛烈抨击
n. 砰的一声",低,TRUE,
flap,"n. 慌乱，紧张；垂下物；帽檐
v. 拍打，拍动",中,TRUE,
levy,"vt. 征收（税等）
n. 征税，税款；征兵",低,FALSE,
cassette,n. 盒子；盒式磁带,低,FALSE,
obstacle,n. 障碍，妨碍，干扰,中,FALSE,
coarse,a. 粗糙的，粗劣的；粗鲁的，粗俗的,低,FALSE,
backward,"a. 向后的；落后的；倒退的；迟钝的
ad. 向后，朝反方向",高,TRUE,
pedal,"n. 踏板
vt. 踩踏板，骑自行车",中,FALSE,
misfortune,n. 不幸，灾祸，灾难,中,FALSE,
pilgrim,n. 朝圣者,高,FALSE,
esteem,vt./n. 尊重，尊敬,高,FALSE,
humid,a. 湿的，湿气重的,低,FALSE,
ally,"n. 同盟国，同盟者；支持者
v. （使）结盟",中,FALSE,
rouse,vt. 惊起；唤起，唤醒,低,FALSE,
insult,vt./n. 侮辱，凌辱,中,FALSE,
orientation,n. 方向，方位，定位；熟悉，适应；（迎新）情况介绍，入学介绍,高,TRUE,
vein,n. 静脉，血管；叶脉；纹理，纹路；方式，风格,低,FALSE,
void,a. 空的，空虚的；没有的，缺乏的；无效的,低,TRUE,
offspring,n. 子孙，后代；结果，产物,高,FALSE,
friction,n. 摩擦；摩擦力,中,FALSE,
loosen,v. 解开，放松,低,FALSE,
surplus,"n. 过剩，剩余
a. 过剩的，剩余的",高,FALSE,
doze,vi./n. 瞌睡；假寐,低,FALSE,
moisture,n. 湿气；湿度,低,FALSE,
siren,n. 警报声，警报器,低,FALSE,
clasp,"n. 握手；拥抱；扣子，钩子
v. 扣住，钩住；紧握，紧抱",低,FALSE,
bibliography,n. 书目；参考文献,低,FALSE,
tribute,n. 贡品，（表示敬意的）礼物；颂词，称赞,中,FALSE,
exquisite,a. 优美的，精致的；（感情）强烈的，剧烈的；（感觉）敏锐的，敏感的,高,FALSE,
senator,n. 参议员,高,FALSE,
pant,n./vi. 喘气,低,FALSE,
wit,n. 智力，才智,高,FALSE,
contract,"n. 契约，合同；包工
vi. 缩小，收缩；订（约）",高,TRUE,
dim,a. 暗淡的；模糊的,高,FALSE,
residence,n. 住处，住宅；居住,中,FALSE,
heel,n. 脚后跟；鞋跟,低,FALSE,
rim,n. （圆物的）边，轮缘；边界,低,FALSE,
accord,"n. 一致，符合；协议，条约
vi. 相符合，相一致
vt. 授予，赠与",中,TRUE,
trace,"n. 痕迹，踪迹；微量
vt. 跟踪，追踪；描绘",高,TRUE,
irony,n. 反话，讽刺，嘲弄；出人意料的事情或情况；具有讽刺意味的事,中,FALSE,
extensive,a. 广大的，广泛的；大量的,高,FALSE,
dazzle,"vt. 使惊奇，使倾倒；使炫目，耀（眼）
n. 耀眼的光；令人眼花缭乱的东西",中,FALSE,
curriculum,n. 课程，（学校等的）全部课程,高,FALSE,
expertise,n. 专门知识（或技能等），专长,中,FALSE,
mild,a. 温暖的；温和的，轻微的；（烟、酒等）味淡的,高,FALSE,
fraud,n. 诈骗，欺骗；骗子；冒名顶替者,低,FALSE,
illustration,n. 说明，例证；插图，图解,低,TRUE,
aural,a. 听觉的,低,FALSE,
shuttle,"n. 航天飞机；（织机的）梭子；短程穿梭运行的飞机（或火车、汽车）
v. （使某物）穿梭般来回",高,TRUE,
intermittent,a.  间歇的，断断续续的,中,FALSE,
cosmic,a. 宇宙的,高,FALSE,
motel,n. 汽车旅馆,低,FALSE,
surgery,n. 外科；外科手术；手术室，诊疗室,中,FALSE,
mob,"n. 暴民，乌合之众
vt. 成群暴动，群众袭击；成群围住",低,FALSE,
vocation,n. 职业，行业,中,FALSE,
petition,"n. 请愿书，申请书；诉状
vt. 向…请愿，正式请求",低,FALSE,
slope,"n. 斜面，斜坡；倾斜，斜度
v. （使）倾斜",低,FALSE,
dye,"n. 染料
vt. 染，染色",中,FALSE,
skull,n. 颅骨，脑壳,低,FALSE,
herd,"n. 群，兽群，牛群；人群，芸芸众生
vt. 放牧；把…赶在一起",中,FALSE,
stride,"n. 迈步，阔步
vi. 大步走（过）；跨过",高,FALSE,
impose,vt. 征（税）；处以（罚款、监禁等）；把…强加给,高,FALSE,
fatigued,a. 疲乏的,低,FALSE,
agent,n. 代理商，代理人，代表；原动力，动因,高,TRUE,
outlook,n. 景色；观点，见解；展望，前景,高,FALSE,
deceit,n. 欺骗，谎言,低,FALSE,
irrigate,vt. 灌溉；冲洗（伤口等）,中,FALSE,
grease,"n. 动物脂肪，油脂；润滑剂
vt. 抹油；润滑",低,FALSE,
pistol,n. 手枪,低,FALSE,
devil,n. 魔鬼；恶棍,中,FALSE,
escort,"vt. 护卫，护送
n. 护卫队，护送者",低,FALSE,
associate,"vt. 使联系，使联合
vi. 交往，结合
n. 合伙人，伙伴，同事，同行
a. 副的",高,TRUE,
inference,n. 推理，推断，推论,高,FALSE,
flesh,"n. 肉
v. 充实",中,TRUE,
token,"n. 表示，象征；标志，记号；代金券；信物，纪念品；筹码
a. 象征性的",中,TRUE,
swamp,"n. 沼泽
v. （以繁多的事情）压倒某人",中,FALSE,
feat,n. 功绩，壮举,中,FALSE,
stake,"n. 桩；棍子；赌注；利害关系，风险
v. 以…打赌，拿…冒险",高,FALSE,
vanish,v. 消失，消散,高,FALSE,
surrender,v. 投降；放弃,中,FALSE,
jolly,"a. 欢乐的，高兴的
ad. 非常",低,FALSE,
stripe,n. 条纹；种类，类型；观点,低,FALSE,
forehead,n. 额,低,FALSE,
piston,n. 活塞,低,FALSE,
verbal,a. 用言辞的，用文字的；口头的；动词的,高,FALSE,
submit,"vi. 服从，屈服
vt. 呈送，提交",高,TRUE,
rally,"n. 集会；公路汽车赛
v. 集合，团结；（使）恢复（健康等），重新振作",中,FALSE,
thigh,n. 大腿,低,FALSE,
rotary,a. 旋转的,低,FALSE,
passerby,n. 过路人，行人,低,FALSE,
imperative,"a. 必要的；紧急的，极重要的；命令的
n. 必要的事；祈使语气",高,FALSE,
wrench,"vt. 猛拧，猛拉；摆脱，挣脱；使扭伤
n. 扳手；（离别等的）痛苦，难受",低,FALSE,
vaccine,n. 疫苗,低,FALSE,
massacre,"vt. 大规模屠杀，残杀；彻底击败
n. 大屠杀，残杀；（比赛等的）惨败",中,TRUE,
intricate,a. 错综复杂的，复杂精细的,中,FALSE,
futile,a. 无效的，无用的，无意义的；（人）没出息的；琐碎的,低,FALSE,
regulation,n. 规则，规章；调节，校准，调整,高,TRUE,
condense,v. （使）压缩，（使）凝结；精简，压缩,低,FALSE,
clumsy,a. 笨拙的，愚笨的,低,FALSE,
capture,"n. 捕获，俘虏
vt. 捕获，俘虏；引起注意，吸引住；表现，体现",高,FALSE,
spray,"n. 喷雾，飞沫；浪花，水花
vt. 喷洒，喷射",低,FALSE,
lofty,a. 高耸的；崇高的；高傲的,低,FALSE,
staple,"n. 订书钉；主食；主要产品
vt. 用订书钉订，把…订起来
a. 主要的；经常需要（或使用）的",低,TRUE,
desolate,"a. 荒凉的；孤独凄凉的
vt. 使荒芜",低,FALSE,
coach,"n. （铁路）客车，长途汽车，大客车；教练；辅导员，私人教师
vt. 辅导，指导",中,TRUE,
console,vt. 安慰，抚慰,低,TRUE,
ruthless,a. 残酷的，无情的,低,FALSE,
harness,vt. 治理；利用,中,FALSE,
tone,n. 音调，音色；色调；风气；气氛；腔调，语气；（肌肉、皮肤等的）结实程度,高,FALSE,
smuggle,vt. 走私，偷运,低,FALSE,
shrewd,a. 机灵的，敏锐的；精明的,低,FALSE,
swell,v. （使）膨胀，增大，隆起,中,FALSE,
soar,vi. 猛增，剧增；高飞，翱翔；（情绪、期望等）高涨；高耸，屹立,中,TRUE,
torment,"n. 痛苦，折磨；令人痛苦的东西；折磨者
vt. 折磨，使痛苦；纠缠，戏弄，烦扰（某人）",低,FALSE,
construct,"vt. 建造，构造；创立；解释，说明
n. 构想；概念",高,TRUE,
moss,n. 苔藓，地衣,低,FALSE,
barrel,n. 桶；枪管，炮管,中,TRUE,
fertilizer/fertiliser,n. 肥料,中,FALSE,
extend,vt. 延长，延伸；提供，给予,高,TRUE,
exempt,"vt. 使…免除（或豁免）
a. 被免除的，被豁免的",中,FALSE,
grief,n. 悲伤，悲痛；悲伤的事；悲痛的缘由,低,FALSE,
decent,a. 体面的；正派的，宽厚的,低,FALSE,
provoke,vt. 挑衅，激怒，招惹；激起，引起，引发,高,FALSE,
vision,n. 视觉，视力；眼光，洞察力；想象，幻想,高,TRUE,
originate,"vi. 起源，产生
vt. 首创，创造",高,FALSE,
hinge,n. 合页，铰链,低,FALSE,
slack,"a. 携带的，懒散的；松弛的；萧条的
n. 淡季，萧条期；便裤，运动裤",高,FALSE,
genuine,a. 真正的，名副其实的,中,FALSE,
weep,"v. （为…）哭泣，（为…）流泪
n. 悲叹，哀悼",低,FALSE,
timid,a. 胆怯的，怯懦的,低,FALSE,
spark,"n. 火花
v. 导致，产生；冒火花",中,TRUE,
prime,"a. 首要的，主要的；最好的，一流的
n. 青春，青壮年时期；全盛时期",高,TRUE,
envisage,vt. 展望，想象；正视,中,FALSE,
agreeable,a. 惬意的，令人愉快的；易相处的；同意的,中,TRUE,
ventilate,vt. 使通风，换气；给…装通风设备,低,FALSE,
overturn,"vi./n. 翻倒，倾覆
vt. 推翻，撤销（判决）",高,FALSE,
pulse,n. 脉搏；脉冲；意向，动向；情绪,低,TRUE,
provided,conj. 倘若，只要，假如,高,TRUE,
plaintiff,n. 原告,低,FALSE,
avert,vt. 防止，避免；转移（目光、注意力等）,低,FALSE,
overthrow,vt./n. 推翻，颠覆,低,FALSE,
amend,vt. 修改，修正,高,FALSE,
fume,"vi. 发怒；冒烟
n. 烟；气；汽",中,FALSE,
diminish,v. 缩小，减少，递减,高,FALSE,
tempt,vt. 诱惑；吸引，使感兴趣,高,FALSE,
saucer,n. 茶托，碟子,低,FALSE,
giggle,n./vi. 咯咯笑；傻笑,低,FALSE,
mosaic,n. 马赛克；镶嵌画,低,TRUE,
prevail,vi. 取胜，占优势；流行，盛行,中,FALSE,
enlighten,vt. 启发，启蒙；教导,高,FALSE,
nuisance,n. 讨厌的人（或东西）；麻烦事,中,FALSE,
claw,"n. 爪
v. 抓",中,FALSE,
veil,"n. 面纱，遮蔽物
v. 用面纱掩盖；掩饰",低,FALSE,
contrive,vt. 图谋，策划；设法做到,低,FALSE,
tramp,"n. 流浪者；步行，跋涉
v. 步行，跋涉",低,FALSE,
erosion,n. 腐蚀，磨损；削弱，减少,低,FALSE,
perplex,vt. 使困惑；使费解；使复杂化,高,FALSE,
coordinate,"a. 同等的，并列的；坐标的
n. 坐标",中,TRUE,
bounce,v./n. （球）跳起，弹起,低,FALSE,
realm,n. 王国，国土；领域,低,FALSE,
undermine,vt. 暗中破坏，暗中削弱；侵蚀…的基础,高,FALSE,
cardinal,"a. 最重要的
n. 红衣主教",低,FALSE,
priest,n. 教士，神父,中,FALSE,
lantern,n. 提灯；灯笼,低,FALSE,
concession,n. 迁就，让步,中,FALSE,
roar,vi. 吼叫，怒号；轰鸣；咆哮,低,FALSE,
ultraviolet,"a. 紫外线的
n. 紫外线",低,FALSE,
abdomen,n. 腹部,低,FALSE,
memorandum,n. 备忘录,低,FALSE,
embarrass,vt. 使窘迫，使为难,高,FALSE,
jar,n. 罐，坛；广口瓶,低,FALSE,
cathedral,n. 大教堂,高,FALSE,
analogy,n. 比拟，类比,中,FALSE,
texture,n. 质地，纹理，结构,低,TRUE,
resist,v. 抵抗，反抗；抗，忍得住，抵制（诱惑等）,中,FALSE,
administer,vt. 掌管，料理…的事务；实施，执行；给予，投（药）,中,FALSE,
elaborate,"a. 精心制作的；详尽的；复杂的
vt. 详细制定
vi. 详细说明",高,FALSE,
scrape,"v. 擦去；擦过，勉强通过
n. 刮削，刮削声；擦伤，擦痕",中,FALSE,
missionary,n. 传教士,低,FALSE,
quest,vi./n. 搜寻，探求,高,FALSE,
Catholic,"n. 天主教徒
a. 天主教的",中,FALSE,
convey,vt. 运送，搬运，转运；表达，传播,高,TRUE,
dump,"vt. 倾倒；扔掉，倒掉
n. 垃圾场；堆存处",低,FALSE,
assurance,n. 确保；断言；保证，担保,中,FALSE,
lubricate,vt. 润滑；加润滑油于,低,FALSE,
blush,n./vi. 脸红,低,FALSE,
favo(u)rable,a. 赞许的；有利的；顺利的,高,FALSE,
loosen,a. 松的，肥大的,低,FALSE,
ornament,"v. 装饰，美化
n. 装饰，装饰物",中,FALSE,
senate,n. 参议院，上院,中,FALSE,
eclipse,n. （天体的）食,低,FALSE,
weary,"a. 疲倦的；令人厌烦的
vt. 使疲倦，使厌倦",中,FALSE,
